review_id,user_id,product_id,avaliacao,texto_da_avaliacao,data_da_avaliacao
82461a16-3894-4c8c-bd24-f67c44c18b0f,e2c35732-dfe8-4888-b881-2316047e8afb,caeec05e-2827-4a18-bc81-98b31ffa6d16,1,"Produto veio com defeito, não gostei.",2024-03-26
33ee5210-3dda-41ed-afff-14201b13dc77,2c8b9ad2-2fd8-4c28-bbae-15d61b28a26b,313deec4-bb19-419b-80d6-07129fd2db50,3,Produto atende às expectativas mínimas.,2024-04-06
d4317eb3-d493-492e-86f1-1d9a5f97d8f1,825cf162-fdf7-4163-80e1-2feb58a73671,90cd526e-7232-4f10-a76c-86ed52d0f619,3,Cumpre o que promete.,2024-01-09
ad9b811c-4794-4334-b76b-aae2232423d6,12316b7e-cf0d-4e42-92eb-3f32448f0510,e5a60122-2d5d-4c6c-ba2d-fe57503c747a,2,"Produto atende às necessidades básicas, mas não impressiona.",2024-03-08
dc480776-748b-4112-bc0f-a9c38fa7a0ca,1aeadd08-a240-4d03-8bfe-013a216323ed,85730d17-54bc-465a-abf5-8c6eb6c19487,4,Entrega rápida e eficiente.,2024-05-01
9e24cb8c-7cbf-4667-9025-b9b496f1ddc1,31e5d677-93e7-4ade-8060-279984139402,8862d500-7772-472d-86bd-1186c613f57b,5,"Ótimo produto, recomendo!",2024-04-21
c94bc36b-df85-467f-8b5e-593ff308365f,58fdc2cc-382e-409f-bf32-0500124cac00,73541a39-b93b-459b-bf5c-4f814c967405,3,"Produto razoável, nada de especial.",2024-03-16
0dd7df67-31a8-42e6-837a-e3ec39c38ed8,69ef8d89-194c-4421-b776-66eef10a86c8,6c1018a1-df08-4d60-baeb-27de7fd6c8ae,5,"Qualidade excepcional, vale cada centavo.",2024-02-25
96f54cec-51de-4139-a27d-67f227fd3c38,774c778d-c0ad-4318-ac13-af59378c9f4c,d74086eb-abb2-45b4-b288-e6a6be85aeee,2,Entrega demorou mais do que o esperado.,2024-01-19
8bac253f-0887-4201-80bc-e0fa1c57c13d,a9b8fdda-4fa6-4efe-ae25-798c18fa5654,e62daef1-2e68-4a8a-99b4-66a2c542f4ff,4,"Muito bom, exatamente como descrito.",2024-03-30
dd8f0d3d-47de-4083-8803-db42f3e13f53,ec85b8fd-033a-4a8e-819b-ee480b6614c6,ab270adc-3dcd-4b50-99ea-9f81525639de,3,Qualidade razoável pelo preço pago.,2024-02-16
9a9c63fc-f5da-44e3-8eb9-bccb03018800,6aef5bd6-47a8-42e9-b199-73bbcc1b83bb,50345495-036d-429e-9dce-fd5a679dd91e,1,"Não compraria novamente, muito frágil.",2024-01-26
ce19c44e-d0f4-46b3-b36c-8fb24e70f868,596d8040-c1db-4e2a-8b72-96f731d69a0a,6beb7a5e-fa25-4288-8a35-673d8260eec4,5,"Produto incrível, vale cada centavo.",2024-02-15
55a752a4-da22-47e6-a2ac-ef92e0751fc3,6c1e5eb7-ec1f-465b-87f4-f7b27c63d5aa,30ae8faa-9f53-4557-9068-5a4e98030af7,1,"Produto veio com defeito, não gostei.",2024-03-06
6d1a776f-2946-4c5f-b523-115bd03fb50a,8a6febc6-b6db-4092-9100-fbd352ff9b4d,1e65229d-ee9f-49e0-b4e7-d6b5bb1a0a68,2,"Produto atende às necessidades básicas, mas não impressiona.",2024-03-14
b0754cec-cb12-4dc9-a887-355747c53e39,b6503977-af22-4bf2-8d98-3e5090144c90,eb01589d-0d69-4a0e-8342-3b7b550a1af2,2,"Decepcionado com a compra, esperava mais.",2024-02-12
95facad3-af72-45ae-9555-4f22e96490b0,47cd66a8-9baa-4aee-a838-46d845b5d6b6,1a0de4bf-a5a3-47b4-bbe5-4675b11c84df,1,"Produto veio com defeito, não gostei.",2024-02-17
b41335e7-d300-4942-ad4d-82d735e53288,1416c5b4-d053-4064-854e-73a71dff434b,757b3af4-e6b7-433a-ba9c-3fda0c32e484,2,"Decepcionado com a compra, esperava mais.",2024-03-20
d2ad3291-a30a-41ab-a6d2-9a34ad0e2c7a,03178e26-2ce6-4b63-b30d-3478bc79df61,19e19f1e-969c-415c-932a-a3e707ed0cbb,2,Muito caro para a qualidade oferecida.,2024-04-13
11bb2a18-8d97-4e06-a922-bcd9edff5f5b,360938a2-c2e2-4cf5-a8ea-210e0e459eb9,3c3ce79d-6b0c-4c7d-93fc-c8ab887389b2,1,"Não compraria novamente, muito frágil.",2024-01-14
be45b30a-21f3-447b-9daa-886e9223286e,7d53b74d-245e-4a7b-9c71-6888d18cc676,481e33c4-0bcf-4f09-8e57-0bf56995aac8,5,"Ótimo produto, recomendo!",2024-03-19
b4b9f6a2-5e01-45bb-ab76-3f183ec050fa,22309e2d-c6a6-4666-b3e4-b4b5fa78fd29,11d5a9e6-5840-40a2-9fdc-02f99884b4ec,1,"Produto veio com defeito, não gostei.",2024-04-12
93de57c3-d4cf-4a34-9cf1-b180a729865f,69320a90-f21d-4bee-8466-3780c3113f81,48fbc434-4297-4e46-9b71-091ce234d4f4,4,Produto bem embalado e chegou sem problemas.,2024-02-14
71081e55-e88d-48d3-93d7-6aeec06c0ed8,a1a30408-6134-4a43-aa59-5ce5151fb676,0d4862ce-6c01-4d5a-9e00-f7f99821473a,3,Cumpre o que promete.,2024-04-27
201928ba-0b0f-4914-b2c5-22a91ba64c0a,d87a44e7-1a2d-46c0-82e2-c67162b6b373,0ed8bd9b-3914-479f-88a8-ca6cd3acb1ac,5,"Qualidade excepcional, vale cada centavo.",2024-02-12
8669d032-372b-450b-bc72-e32a20315653,f5ed5a7d-c2e1-4bb1-88a6-a54183caa928,8ec2d3d5-f57c-4951-8ad8-8f91f68d516e,4,"Muito bom, exatamente como descrito.",2024-03-03
b343f78a-7a10-4e04-95da-4ddef6b8e107,b7c1f172-fe06-43e5-977f-5289926c23ce,e572dc03-53dc-465f-bce3-6b7213b84173,4,Produto de excelente qualidade.,2024-01-25
b9f8eb9b-3648-4f86-b8f8-21c63dc062bf,4b423cb4-0304-4a02-be58-a26907f6f976,43a5df84-8eb6-487b-a9be-8f866f712c69,5,"Ótimo produto, recomendo!",2024-05-13
553f958c-de51-4d7f-a371-4e549cfc1992,4225f305-04c1-4438-a929-33d04bad693f,9327413a-df01-45c5-9350-103a5d0679e4,3,Cumpre o que promete.,2024-03-01
ec1b0c35-9e16-4937-a924-df656a8270e5,e025fe11-45ac-47a4-8b2b-19f73c067d04,793e8c95-aca6-40c8-8d79-e8190aca937d,5,"Qualidade excepcional, vale cada centavo.",2024-02-15
43a06b49-9e4e-4c95-a324-0a0d5df893b5,a41d649b-1e98-4dc0-a835-19ca7002caba,205c12be-7a62-4b51-a96d-50ce81c42a72,2,"Decepcionado com a compra, esperava mais.",2024-02-23
8fa895ee-0dfe-4603-92a4-3d184cca2d7c,9ed467c9-76c6-4456-8786-ae13abae1b89,6012f60e-4eb6-468f-8fef-0aad7d7363ed,4,Produto com ótimo acabamento.,2024-01-23
