transaction_id,user_id,product_id,quantidade,data_da_transacao,preco
8acaf947-61b2-4ffe-8456-220269c3760d,6cb3cee8-cbc9-41fa-957f-b804a83e9375,d327154a-9de9-4967-8f8c-09cc919a48ef,2,2024-04-09,3028.5
8ed5f882-35d6-4589-ae28-ecb9d19b52a5,5a3611da-15ab-4bd3-89c1-d3e3f4f6862c,c38c1e25-a7d6-4b31-bba1-701ced071628,4,2024-01-07,4384.59
79f6015e-380c-420e-8b23-ffbb7198bea0,d46fe097-3c8a-479b-8a17-fafa78cfb885,a043f4b2-a870-45e2-a086-473a11739789,3,2024-05-08,3118.85
7ffb9be7-7ee4-40db-92bf-4c12432d2c3d,6cb3cee8-cbc9-41fa-957f-b804a83e9375,a0db9882-80dc-4959-9880-02eecbefa3ac,1,2024-03-25,2748.15
5e770f34-9e27-4bf0-bf39-e70379d2939b,7e7d3a56-88bd-48e4-96b7-d28d99f8a1e1,23844051-ad2f-4c5c-8dd7-999373f17ac1,1,2024-02-17,845.09
9775d0f6-7d60-43cb-8ab7-7d92d7c8aa62,d5e00dbf-aca9-4404-a219-377be4cfc74b,8012bf75-47fa-4bd3-9fe9-9372d09c0919,5,2024-01-25,4035.75
fa3bec35-86c4-42e4-befe-e9550fa13b23,1af860c8-e748-441e-900a-b7aa8c18305a,84136b02-78da-4201-9625-8863cfe116f9,2,2024-01-28,2691.39
dcbdc4c1-9890-437e-a371-93cd29ce37ee,0c40b7ad-05cf-4872-b0aa-ff492568a839,2318ecdc-7f43-4912-b79c-863943a16276,3,2024-04-22,404.23
157925b2-fd73-425f-b3d6-100284535e58,f812785c-6c66-451e-af2a-06e41e20cc55,311841ec-44d5-4010-bfa5-53014f936cd6,5,2024-04-27,2465.06
c3086d73-1b1d-4897-aa0a-5b1d7294b427,1d468e27-d8ae-45e6-b345-67ca011837ee,e6cad73b-ef67-4818-863c-24ffa9bd03a2,1,2024-03-25,2617.01
9882d73d-b06b-43c6-ac75-e9cbf3e1c626,f40a460d-7f06-428c-90ee-0d89fb7e3fd7,6abecead-a0e2-4840-8001-9097c86bbe0b,5,2024-02-15,135.09
e65367c4-44b0-4a15-8858-9b90115f5531,b33e6f12-d7df-4754-9b1a-f4bb81527fb5,7804652e-20dc-4a47-b598-b6e226c3d650,2,2024-04-05,4567.6
373c4c9f-89df-497d-b770-633573de3134,0c763950-a3a3-4a3a-b138-e15a28c2b7c3,360956df-95ee-4da1-962f-57538bb4082c,1,2024-03-16,1986.14
76978995-b72b-4889-8f6c-d01ebb024693,c8692f92-7cdf-434f-8009-bd78598ae06b,e947986a-d120-4f3b-b3bf-16817d6ca20a,3,2024-05-03,4779.18
b41345e6-1b5a-4911-95c7-0d4f6608a513,235163d7-ed92-4750-994d-b0e7310cbfac,75c5cf9d-f1a3-4304-865e-abee19d00d8f,2,2024-02-06,1830.31
ccdebcf1-cc96-4cb9-b3cd-3d8f80bc2211,47565f5e-31f3-49ae-99b4-3ed46661e724,5b5ee6b3-a3d6-467a-9d94-bc396b375d03,2,2024-01-25,4263.64
86ea9053-f142-4f40-8bc1-0ddfd101d5dd,699f0185-3906-4db5-9b7e-89860281cf3d,491e4085-6cc0-490f-a52e-055a416c76ae,3,2024-03-28,572.47
0a10b974-149c-4c33-978c-ddfd8d8bfa22,ddc9fe83-7ea9-4db4-9b0f-4b5e4083c777,1a16b135-0be8-42f0-9053-ad6f64194f69,1,2024-02-18,1108.07
b59020cb-c391-4a53-9835-9089df635e04,90ffe036-ff28-4a6d-9157-9d5c3ee2c005,cd05a904-eef1-4892-a039-b4ef0500e50f,2,2024-04-04,3196.14
e26c1fd5-7665-421c-89aa-6c61ed2747cb,cb203465-5273-4d8a-8011-c8f8d4efc378,f82e1cc5-8178-4124-a159-132c8f14db65,2,2024-04-01,2974.75
fce2a973-ef9b-4e5b-ad66-82c4cb96d872,19eeb33d-28ba-44b9-82cc-cfedf7319021,1113c923-7f5a-444b-9a6c-3b0621269f69,1,2024-01-22,1236.16
5606b15f-70f6-4ede-82e6-e178250c4b94,a4b3b55f-a2d7-48a0-93a6-7763a360c6e5,eaa8e2f1-87e1-4b08-915c-94dcbd60aae6,1,2024-03-23,928.3
2e77d3e3-b252-4cd1-a1ee-4a1e632a29be,2f8bd903-698a-482d-957c-0ed151c1bd7e,b669cce3-79d2-4b89-8d71-1285ee4fdac7,3,2024-04-19,1303.84
ea2f161e-f6b2-4b5f-a346-a6777411c01b,8ee56ebf-ca95-454e-82cc-a6be3ce60a45,af66df87-a589-4a0e-bf3e-9c4dccf88edf,3,2024-02-06,1228.46
c551a229-7b79-4e93-9249-249c783b79c8,bfdfce89-5c53-46b1-802c-ec1400aaadfb,1f6ab0aa-78ef-408b-a7a0-44d2481f1229,2,2024-04-23,437.54
6a646919-d440-4747-a35b-065702c447a2,5bbe0cce-f198-4523-b521-3474a354d390,491e4085-6cc0-490f-a52e-055a416c76ae,1,2024-03-03,3990.43
69cb9174-7669-426b-8e81-876c144b4e92,ff6b8ffd-8351-4992-a465-dd7b23562156,81b593a2-3e42-4f8e-b4d3-218ce44d538b,3,2024-04-03,2520.92
9d75d0e0-07ac-4eb0-9512-8f86a1a38d2c,559e09e5-7f70-4bf0-a8e4-b11c12e9b034,bf653b70-ebca-4e78-ab11-031377bb1336,3,2024-01-06,3668.63
489e0ea9-bdb5-478f-a2e7-f87650c548af,c09c63c6-f43a-4042-82fa-6a3b422b19aa,1787d7aa-e534-4a72-ae0f-cfe80cf26c4b,3,2024-02-28,4892.22
ed80ccd0-4c27-4b4a-8401-45bb3630968b,90996f35-4c3a-4329-bcbf-8e1f14d5e995,b093cb5e-7f85-4fff-be1b-477cc132090d,2,2024-01-09,1148.07
1f19a892-9a3c-475e-9215-b4a7d51654e1,6508fb91-a2d2-4f1f-be34-9bea9c00b870,1a0de4bf-a5a3-47b4-bbe5-4675b11c84df,4,2024-03-16,3310.27
ca0bba69-3344-4bfc-a30c-d59551e7d93a,a05b46fd-15a9-4520-b580-24dd20f8d0b8,43c3232d-c0de-4143-9563-30da871e942f,2,2024-03-06,4206.37
ac13a66f-2c92-4a95-9ab9-7a6820f1504e,04993b55-4571-4e49-ac11-483388063c5a,48fbc434-4297-4e46-9b71-091ce234d4f4,5,2024-03-23,196.16
